# dat3_x	dat3_y		dat4_x		dat4_y
0.543291	0.343177	0.942799	0.932892
0.728951	0.522551	0.123320	0.130807
0.016881	0.332815	0.445349	0.483009
0.330339	0.597326	0.638215	0.679673
0.368722	0.600021	0.521494	0.538400
0.048304	0.270968	0.900155	0.905571
0.104530	0.363922	0.256962	0.284085
0.097438	0.967993	0.192267	0.161720
0.245403	0.317679	0.182353	0.184971
0.873489	0.587648	0.428964	0.402827
0.051612	0.965570	0.271534	0.243363
0.060481	0.468514	0.172714	0.152093
0.238740	0.630051	0.185379	0.150396
0.203699	0.033654	0.694787	0.678975
0.174534	0.032359	0.957430	0.966004
0.415350	0.320078	0.513010	0.519626
0.941738	0.590001	0.604706	0.601574
0.466915	0.178600	0.558946	0.573849
0.959978	0.630223	0.082956	0.086407
0.999814	0.136482	0.718266	0.720284
0.726317	0.142133	0.240166	0.211906
0.484229	0.529522	0.540102	0.504796
0.126861	0.727621	0.302161	0.282419
0.105405	0.730814	0.607433	0.590563
0.042266	0.581352	0.945023	0.979100
0.244131	0.987082	0.703663	0.688356
0.071517	0.789216	0.030873	0.025769
0.995568	0.838072	0.619420	0.654503
0.201326	0.855589	0.417227	0.409102
0.882451	0.394104	0.964366	0.918710
0.245227	0.836384	0.775219	0.733846
0.115434	0.196881	0.845875	0.831630
0.592202	0.229781	0.889145	0.919073
0.708262	0.208024	0.609319	0.579002
0.130289	0.963390	0.147757	0.191055
0.118507	0.638910	0.267462	0.313960
0.003721	0.554606	0.521819	0.527844
0.569425	0.166287	0.031574	0.059148
0.481840	0.785453	0.396968	0.426282
0.341163	0.665112	0.456674	0.428226
0.264718	0.608357	0.081048	0.123963
0.347718	0.493751	0.791951	0.807835
0.920715	0.880292	0.977782	0.931103
0.983162	0.168806	0.542635	0.589983
0.976486	0.285452	0.181514	0.165621
0.042755	0.929411	0.336548	0.373623
0.808018	0.310666	0.830596	0.781640
0.866689	0.550814	0.411085	0.423525
0.517983	0.614332	0.386110	0.359539
0.715319	0.307831	0.011095	0.003675
0.190548	0.458252	0.946129	0.903008
0.643628	0.079222	0.979326	0.972553
0.546687	0.368179	0.180360	0.185537
0.559584	0.259109	0.270065	0.317283
0.193267	0.533282	0.177355	0.147977
0.324460	0.275489	0.260229	0.310121
0.181905	0.041996	0.005467	0.040238
0.617393	0.175102	0.102725	0.139130
0.287938	0.998622	0.655613	0.629802
0.134363	0.347375	0.037246	0.066106
0.326771	0.715786	0.189461	0.168296
0.178520	0.688567	0.010325	0.031001
0.417330	0.753584	0.873611	0.878759
0.376549	0.769263	0.407127	0.418073
0.456134	0.215385	0.701701	0.715897
0.244862	0.921541	0.732135	0.701235
0.704969	0.195465	0.523766	0.533197
0.119836	0.957766	0.778823	0.762426
0.318947	0.382791	0.580378	0.618094
0.777626	0.766265	0.350948	0.328627
0.064396	0.732723	0.826494	0.779304
0.994941	0.837058	0.614477	0.656166
0.093421	0.982675	0.301218	0.320369
0.764512	0.496992	0.486718	0.475475
0.154718	0.421793	0.367159	0.385656
0.557474	0.839995	0.209530	0.219072
0.583331	0.150926	0.229659	0.227497
0.558294	0.715734	0.934413	0.917978
0.722588	0.424898	0.490193	0.482782
0.698426	0.119384	0.067138	0.047411
0.068049	0.116670	0.003631	0.049375
0.591908	0.590399	0.536510	0.525483
0.699811	0.567845	0.117751	0.113040
0.617643	0.458493	0.578077	0.576076
0.728178	0.696488	0.393526	0.351177
0.186213	0.866297	0.143393	0.172385
0.089812	0.081334	0.429045	0.433759
0.398810	0.866267	0.061295	0.061719
0.233131	0.268004	0.888983	0.889443
0.765922	0.746384	0.332242	0.336744
0.422825	0.029399	0.792572	0.751246
0.801325	0.896970	0.483977	0.491336
0.425200	0.865454	0.336466	0.299508
0.518275	0.082125	0.304078	0.308726
0.461082	0.643005	0.792479	0.754076
0.479880	0.749573	0.954939	1.001596
0.140446	0.368243	0.101921	0.103530
0.766192	0.742335	0.017644	0.016863
0.883264	0.193630	0.429193	0.454369
0.854843	0.609237	0.401669	0.426502
# cov3 = -0.011208
# cor3 = -0.136105
# cov4 = 0.082579
# cor4 = 0.995798
# a3 = -0.129873
# b3 = 0.576928
# a4 = 0.976881
# b4 = 0.011402
# b3_cor3 = 0.579697
# b4_cor4 = 0.002768
